City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
398,Galle,LK,83.61,overcast clouds,6.0367,80.217,Amangalla
400,Honiara,SB,83.25,broken clouds,-9.4333,159.95,Heritage Park Hotel
401,Nouadhibou,MR,75.18,overcast clouds,20.931,-17.0347,El Medina
406,Mareeba,AU,80.47,few clouds,-17.0,145.4333,Trinity Plains Tourist Park
410,Anloga,GH,76.51,overcast clouds,5.7947,0.8973,Pin Drop Hotel
411,Biak,ID,82.4,broken clouds,-0.9131,122.8766,Penginapan Kim
413,Humberto De Campos,BR,74.25,clear sky,-2.5983,-43.4611,Pousada do Cabeça
414,Loralai,PK,79.9,clear sky,30.3705,68.598,Saddam Hotel & Resturant
419,Lamu,KE,77.22,overcast clouds,-2.2717,40.902,Lamu House
422,Cienfuegos,CU,77.14,few clouds,22.1461,-80.4356,Casa Claumar B2BPay
423,Fukue,JP,71.96,heavy intensity rain,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
426,Port Moresby,PG,80.02,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
431,Ifakara,TZ,74.3,scattered clouds,-8.1333,36.6833,Tanzanian Training Centre for International Health
432,Poum,NC,76.69,few clouds,-20.2333,164.0167,
435,Soyo,AO,73.08,broken clouds,-6.1349,12.3689,Hospedaria ndozi'ame
437,Monkey Bay,MW,75.74,clear sky,-14.0728,34.9201,Mufasa Eco Lodge
440,Oistins,BB,80.69,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
442,Japura,ID,79.72,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
443,Thinadhoo,MV,82.22,broken clouds,0.5333,72.9333,
446,Vila Franca Do Campo,PT,73.81,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
447,Itarema,BR,77.59,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
448,Sao Joao Da Barra,BR,70.05,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
450,Anito,PH,84.9,moderate rain,12.4497,125.2886,El Felix Cottages
452,Ambilobe,MG,83.89,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
454,Laguna,US,70.29,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
455,Lagoa,PT,74.01,light rain,39.05,-27.9833,Casa Das Faias
456,Aswan,EG,76.3,clear sky,24.0934,32.907,Nuba Nile
