City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
110,San Quintin,MX,30.4833,-115.95,55.74,63,49,6.44,scattered clouds
111,Sibolga,ID,1.7427,98.7792,76.6,86,100,1.83,overcast clouds
112,Guerrero Negro,MX,27.9769,-114.0611,57.09,57,10,7.87,clear sky
113,Jingdezhen,CN,29.2947,117.2079,61.48,43,0,1.68,clear sky
114,Kijang,KR,35.2442,129.2139,51.53,64,100,6.85,overcast clouds
115,Hithadhoo,MV,-0.6,73.0833,80.89,74,24,12.68,few clouds
116,Fonte Boa,BR,-2.4959,-66.2662,72.18,98,73,1.86,broken clouds
117,Hurghada,EG,27.2574,33.8129,55.94,49,0,16.96,clear sky
118,Luderitz,NA,-26.6481,15.1594,60.4,94,4,11.68,clear sky
119,Chapais,CA,49.7834,-74.8492,-6.02,94,100,8.81,overcast clouds
120,Georgetown,MY,5.4112,100.3354,82.33,83,40,5.75,scattered clouds
121,Codrington,AU,-38.2667,141.9667,61.72,49,100,15.12,overcast clouds
122,Katsuura,JP,35.1333,140.3,51.82,50,4,23.62,clear sky
123,Krasnoselkup,RU,65.7,82.4667,-1.34,97,100,11.7,overcast clouds
124,Ivanteyevka,RU,55.9711,37.9208,32.56,94,100,6.69,overcast clouds
125,Cape Town,ZA,-33.9258,18.4232,72.37,80,0,13.0,clear sky
126,Oktyabrskiy,RU,54.4815,53.471,4.64,98,61,5.82,broken clouds
127,Catia La Mar,VE,10.6038,-67.0303,80.8,69,40,6.91,scattered clouds
128,Rocha,UY,-34.4833,-54.3333,68.32,95,5,5.06,clear sky
129,Belyy Yar,RU,53.6039,91.3903,-2.31,84,20,0.0,fog
130,Ussel,FR,45.55,2.3167,30.94,96,100,2.35,overcast clouds
131,Ballina,AU,-28.8667,153.5667,86.02,75,57,8.9,broken clouds
132,Domoni,KM,-12.2569,44.5319,79.02,84,93,5.14,overcast clouds
133,Flinders,AU,-34.5833,150.8552,84.18,60,8,1.99,clear sky
134,Springdale,US,36.1867,-94.1288,22.5,89,100,6.91,overcast clouds
135,Petrozavodsk,RU,61.7849,34.3469,26.06,86,97,8.95,overcast clouds
136,Hobart,AU,-42.8794,147.3294,61.27,77,75,13.8,light intensity drizzle
137,San Patricio,US,28.017,-97.5169,39.07,82,100,14.81,overcast clouds
138,Dicabisagan,PH,17.0818,122.4157,78.13,67,99,2.51,overcast clouds
139,Erzin,TR,36.9559,36.2,43.66,80,100,3.56,overcast clouds
140,Swinoujscie,PL,53.9105,14.2471,39.34,81,75,23.02,broken clouds
141,Jutai,BR,-5.1833,-68.9,72.73,98,100,2.06,overcast clouds
142,Dingzhou,CN,38.5131,114.9956,35.71,22,72,6.44,broken clouds
143,Saiha,IN,22.4833,92.9667,65.5,38,8,2.37,clear sky
144,Isangel,VU,-19.55,169.2667,83.8,72,100,2.21,overcast clouds
145,Svetlyy,RU,54.675,20.1347,37.45,97,100,25.52,light rain
146,Port-Gentil,GA,-0.7193,8.7815,80.22,79,46,14.16,scattered clouds
147,Rio Gallegos,AR,-51.6226,-69.2181,57.22,53,100,3.62,overcast clouds
148,Hami,CN,42.8,93.45,26.04,33,100,3.91,overcast clouds
149,Qitaihe,CN,45.8,130.85,8.38,92,100,6.29,overcast clouds
150,Uchiza,PE,-8.4592,-76.4633,71.65,96,100,2.15,overcast clouds
151,Lata,PT,40.1629,-8.3327,33.08,78,0,3.36,clear sky
152,Geraldton,AU,-28.7667,114.6,90.01,31,0,12.66,clear sky
153,Puerto Quijarro,BO,-17.7833,-57.7667,74.62,91,100,0.87,light rain
154,Arraial Do Cabo,BR,-22.9661,-42.0278,75.94,87,78,25.28,broken clouds
155,Lagoa,PT,39.05,-27.9833,56.88,70,98,11.9,light rain
156,Vardo,NO,70.3705,31.1107,30.18,93,100,25.32,light snow
157,Plettenberg Bay,ZA,-34.0527,23.3716,66.76,80,0,6.67,clear sky
158,Montrose,US,38.4166,-108.2673,11.61,75,1,2.33,clear sky
159,Chuy,UY,-33.6971,-53.4616,70.72,91,4,6.51,clear sky
160,Fairbanks,US,64.8378,-147.7164,17.82,84,75,5.75,light snow
161,Ayabaca,PE,-4.6398,-79.7149,49.93,96,99,1.9,light rain
162,Lunenburg,CA,44.3835,-64.3155,24.85,79,96,14.97,overcast clouds
163,Iqaluit,CA,63.7506,-68.5145,-14.31,68,75,16.11,light snow
164,Provideniya,RU,64.3833,-173.3,23.36,86,100,2.24,fog
165,West Fargo,US,46.875,-96.9004,-0.4,83,0,4.61,clear sky
166,Marzuq,YE,14.4,46.4667,57.81,45,8,5.17,clear sky
167,Nakodar,IN,31.1258,75.4733,44.47,78,0,6.51,clear sky
168,Klaksvik,FO,62.2266,-6.589,40.82,87,94,31.9,light rain
169,Sola,VU,-13.8833,167.55,81.57,70,100,5.91,overcast clouds
170,Shimoda,JP,34.6667,138.95,52.16,61,16,17.81,few clouds
171,Salalah,OM,17.0151,54.0924,66.38,78,88,4.45,overcast clouds
172,Kutum,SD,14.2,24.6667,64.13,17,55,6.85,broken clouds
173,Seymchan,RU,62.8833,152.4333,-15.72,96,93,1.72,overcast clouds
174,La Cruz,MX,23.9167,-106.9,67.57,75,89,9.69,overcast clouds
175,Zhob,PK,31.3411,69.4481,41.81,43,9,2.55,clear sky
176,Cartagena,CO,10.3997,-75.5144,76.62,78,0,6.91,clear sky
177,Severo-Kurilsk,RU,50.6789,156.125,25.47,53,52,4.07,broken clouds
178,Chimbote,PE,-9.0853,-78.5783,71.51,75,99,4.83,overcast clouds
179,Medea,DZ,36.2642,2.7539,35.69,62,0,2.57,clear sky
180,Staryy Nadym,RU,65.6118,72.6842,12.88,94,100,18.03,light snow
181,Mont-Dore,NC,-22.2833,166.5833,89.58,60,66,6.8,broken clouds
182,Harper,LR,4.375,-7.7169,78.84,86,19,5.86,few clouds
183,Ferrandina,IT,40.5012,16.4547,36.05,60,5,6.93,clear sky
184,Upernavik,GL,72.7868,-56.1549,-3.33,93,100,11.5,overcast clouds
185,Hobyo,SO,5.3505,48.5268,75.11,73,8,14.36,clear sky
186,San Cristobal,VE,7.7669,-72.225,68.18,91,90,2.55,overcast clouds
187,Bintulu,MY,3.1667,113.0333,75.61,94,20,3.44,moderate rain
188,Lorengau,PG,-2.0226,147.2712,84.29,69,85,9.62,heavy intensity rain
189,Kimbe,PG,-5.5502,150.1429,80.55,84,98,3.74,light rain
190,Tiznit,MA,29.5833,-9.5,50.88,26,66,17.78,broken clouds
191,Dikson,RU,73.5069,80.5464,-11.49,92,25,9.15,scattered clouds
192,Racovita,RO,45.6983,21.6358,36.81,99,100,7.99,light rain
