City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
498,Natal,BR,79.45,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
499,The Valley,AI,76.1,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
501,Campana,AR,77.11,clear sky,-34.1687,-58.9591,Hotel Morada Suites
508,Cativa,PA,77.43,broken clouds,9.3606,-79.8436,La Granja Campo y Aventura
509,Goya,AR,77.13,clear sky,-29.14,-59.2626,Apart Costanera Goya
510,Vanimo,PG,83.59,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
512,Popondetta,PG,79.12,overcast clouds,-8.7537,148.2534,Timos Transit House
513,Kununurra,AU,87.78,scattered clouds,-15.7667,128.7333,Hotel Kununurra
529,Kieta,PG,85.12,light rain,-6.2167,155.6333,Uruna Bay Retreat
538,Bodden Town,KY,78.93,few clouds,19.2833,-81.25,Will T Place
540,Mareeba,AU,81.32,moderate rain,-17.0,145.4333,Trinity Plains Tourist Park
545,Kalianget,ID,83.16,overcast clouds,-7.05,113.9333,Pesanggrahan Garam
547,Manggar,ID,83.91,overcast clouds,-2.8833,108.2667,Guest Hotel
571,Malakal,SS,77.49,clear sky,9.5334,31.6605,Nile Palace Hotel
592,Meulaboh,ID,78.49,overcast clouds,4.1363,96.1285,Kost Pria
600,Saint-Leu,RE,76.06,broken clouds,-21.15,55.2833,La Caz Oceane
602,Luwuk,ID,85.3,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
615,Ler,SS,77.02,clear sky,8.3018,30.1418,Leer Humanitarian Hub
621,Maragogi,BR,77.09,light rain,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
633,Tautira,PF,81.05,light rain,-17.7333,-149.15,Pension Oaoa
634,Sarangani,PH,81.57,scattered clouds,5.4033,125.4636,JVL Inn and Cafeteria
635,Miramar,US,77.02,clear sky,25.9873,-80.2323,Stadium Hotel
653,Ternate,ID,84.52,scattered clouds,0.8,127.4,Sahid Bela Ternate Hotel
654,Puerto El Triunfo,SV,77.92,clear sky,13.2833,-88.55,Hotel Jardín
656,Sao Jose Da Coroa Grande,BR,77.27,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
663,Yeppoon,AU,83.98,moderate rain,-23.1333,150.7333,Villa Mar Colina
665,Tuburan,PH,86.09,few clouds,6.6439,122.2736,GT Site
669,Sompeta,IN,77.07,broken clouds,18.9333,84.6,V.B.R A/C Lodge And Function Hall
672,Ewa Beach,US,83.57,few clouds,21.3156,-158.0072,Uncle Junior Robert
680,Oranjestad,AW,78.75,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
683,Kuching,MY,82.26,scattered clouds,1.55,110.3333,Hilton Kuching
